start,end,contains_inferred_end,duration_hours
2025-01-02 15:00:00,2025-01-08 22:56:00.825668,False,151.93356268555556
2025-02-14 15:01:02,2025-02-19 21:50:53.000000,True,126.83083333333333
2025-04-03 21:24:31,2025-04-03 22:38:57.000000,True,1.2405555555555556
2025-05-05 14:00:00,2025-05-05 21:45:19.083755,False,7.755301043055556
2025-05-13 14:00:00,2025-05-15 00:21:09.679857,False,34.35268884916667
2025-05-19 15:30:00,2025-05-19 18:10:50.686929,False,2.6807463691666666
2025-05-27 14:00:00,2025-05-29 21:12:42.492720,False,55.21180353333334
2025-08-25 14:00:00,2025-08-28 23:17:19.902406,False,81.28886177944445
2025-09-09 14:00:00,2025-09-09 23:07:31.301399,False,9.125361499722223
2025-09-29 14:02:00,2025-09-29 19:56:09.000000,True,5.9025
