phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,Qwen/Qwen3-14B,512,1,1,16,16,70.4437927051913,73.25322448741645,73.78175645135343,0.0,0.0,0.0,70.44366124318913,73.25303344987333,73.78163561224937,results/Qwen3-14B-rerun-1/raw/prefill_input512_c1.json
prefill,Qwen/Qwen3-14B,1024,1,1,16,16,75.75828109111171,77.40631001070142,87.83946739276871,0.0,0.0,0.0,75.75810252455994,77.4061739211902,87.83930906793103,results/Qwen3-14B-rerun-1/raw/prefill_input1024_c1.json
prefill,Qwen/Qwen3-14B,2048,1,1,16,16,133.53429337439593,138.74169159680605,150.91231785481796,0.0,0.0,0.0,133.53407534305006,138.74150661285967,150.91213426785544,results/Qwen3-14B-rerun-1/raw/prefill_input2048_c1.json
prefill,Qwen/Qwen3-14B,4096,1,1,16,16,379.95452810719144,446.728327893652,506.74567226087674,0.0,0.0,0.0,379.9543796631042,446.7281779507175,506.745454040356,results/Qwen3-14B-rerun-1/raw/prefill_input4096_c1.json
prefill,Qwen/Qwen3-14B,8192,1,1,16,16,1018.5711542872014,1082.5335214613006,1087.8199496073648,0.0,0.0,0.0,1018.5709390352713,1082.5333814136684,1087.8197113634087,results/Qwen3-14B-rerun-1/raw/prefill_input8192_c1.json
prefill,Qwen/Qwen3-14B,16384,1,1,16,16,2309.379126279964,2456.8006184417754,2467.534769268241,0.0,0.0,0.0,2309.3788831611164,2456.8003829335794,2467.5345415016636,results/Qwen3-14B-rerun-1/raw/prefill_input16384_c1.json
prefill,Qwen/Qwen3-14B,32767,1,1,16,16,5721.400890237419,6099.018853972666,6108.102841535583,0.0,0.0,0.0,5721.400638474734,6099.018627894111,6108.102583035361,results/Qwen3-14B-rerun-1/raw/prefill_input32767_c1.json
decode,Qwen/Qwen3-14B,8192,256,1,16,16,1031.3255417422624,1094.4309900514781,1102.8138436377048,23.61836651215722,23.61446137074381,23.6381475555747,7054.0090023423545,7117.274745018221,7126.616654219106,results/Qwen3-14B-rerun-1/raw/decode_input8192_output256_c1.json
decode,Qwen/Qwen3-14B,8192,256,2,16,16,1493.444280611584,1399.4643399491906,1955.3690932807513,26.58175570364156,26.867102924277823,27.743953501340002,8271.791985040181,8404.580313479528,8645.879232615698,results/Qwen3-14B-rerun-1/raw/decode_input8192_output256_c2.json
decode,Qwen/Qwen3-14B,8192,256,4,16,16,1812.6487086556153,1849.9963344074786,2749.005043238867,35.025133518273854,35.41358933537541,38.276457523598395,10744.057755815447,10751.45844311919,11832.612655474804,results/Qwen3-14B-rerun-1/raw/decode_input8192_output256_c4.json
decode,Qwen/Qwen3-14B,8192,256,8,32,32,8549.68778037437,11693.273156997748,13734.70632681856,41.910768451007065,42.812702325903174,44.69475500824331,19236.93373538117,18559.842623537406,25003.85843438562,results/Qwen3-14B-rerun-1/raw/decode_input8192_output256_c8.json
decode,Qwen/Qwen3-14B,8192,256,16,64,64,25925.83911116526,27790.43634654954,34710.75928702485,42.82529934140507,43.59459622954841,44.738169464090944,36846.29044322355,38904.18805205263,46117.59003872285,results/Qwen3-14B-rerun-1/raw/decode_input8192_output256_c16.json
