phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,Qwen/Qwen3-14B,512,1,1,16,16,71.31635340920184,72.98305456060916,77.78892933856696,0.0,0.0,0.0,71.31620433938224,72.98292953055352,77.78879173565656,results/Qwen3-14B-rerun-2/raw/prefill_input512_c1.json
prefill,Qwen/Qwen3-14B,1024,1,1,16,16,75.47555661585648,76.52841508388519,88.50204251939431,0.0,0.0,0.0,75.47533573233522,76.52817503549159,88.5018224362284,results/Qwen3-14B-rerun-2/raw/prefill_input1024_c1.json
prefill,Qwen/Qwen3-14B,2048,1,1,16,16,133.45443668367807,138.22053803596646,152.05328562296927,0.0,0.0,0.0,133.45419174584094,138.22030706796795,152.05303713446483,results/Qwen3-14B-rerun-2/raw/prefill_input2048_c1.json
prefill,Qwen/Qwen3-14B,4096,1,1,16,16,380.89942329679616,448.9114601165056,507.95568648027256,0.0,0.0,0.0,380.89930661953986,448.9113390445709,507.9555790871382,results/Qwen3-14B-rerun-2/raw/prefill_input4096_c1.json
prefill,Qwen/Qwen3-14B,8192,1,1,16,16,1021.4708327985136,1085.1016141241416,1091.7649394832551,0.0,0.0,0.0,1021.4705992257223,1085.1013736100867,1091.7647121241316,results/Qwen3-14B-rerun-2/raw/prefill_input8192_c1.json
prefill,Qwen/Qwen3-14B,16384,1,1,16,16,2311.7192924255505,2460.053606540896,2467.9750483483076,0.0,0.0,0.0,2311.719026096398,2460.053335991688,2467.974730883725,results/Qwen3-14B-rerun-2/raw/prefill_input16384_c1.json
prefill,Qwen/Qwen3-14B,32767,1,1,16,16,5716.048160611535,6084.502622485161,6100.31921917107,0.0,0.0,0.0,5716.0479025915265,6084.502331912518,6100.318964105099,results/Qwen3-14B-rerun-2/raw/prefill_input32767_c1.json
decode,Qwen/Qwen3-14B,8192,256,1,16,16,1033.1284585845424,1097.8559096110985,1103.8190094404854,23.638954567300686,23.63457186101917,23.662695773950247,7061.061873246217,7124.968621181324,7133.994009811431,results/Qwen3-14B-rerun-2/raw/decode_input8192_output256_c1.json
decode,Qwen/Qwen3-14B,8192,256,2,16,16,1487.9979109828128,1394.9943599291146,1948.8067504717037,26.60366320153972,26.895928880491972,27.744281808069598,8271.932027375442,8408.398222411051,8646.34775853483,results/Qwen3-14B-rerun-2/raw/decode_input8192_output256_c2.json
decode,Qwen/Qwen3-14B,8192,256,4,16,16,1809.1944128391333,1843.0980644188821,2739.548900106456,35.043525639133904,35.42313452755265,38.264765391838466,10745.29345081828,10758.681469131261,11822.427430306561,results/Qwen3-14B-rerun-2/raw/decode_input8192_output256_c4.json
decode,Qwen/Qwen3-14B,8192,256,8,32,32,8575.508639754844,11932.779335416853,13355.898143840022,41.34206280406729,42.81576251538069,43.92799939170443,19117.734654792002,18616.71596451197,24388.814664364327,results/Qwen3-14B-rerun-2/raw/decode_input8192_output256_c8.json
decode,Qwen/Qwen3-14B,8192,256,16,64,64,25967.95864365413,27817.193716065958,34764.33575076517,42.88415484385469,43.645281900250005,44.79708090570627,36903.418128837075,38955.71582112461,46173.61026108265,results/Qwen3-14B-rerun-2/raw/decode_input8192_output256_c16.json
